Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
CE;2311959;Salitre;55166
CE;2312007;Santana do Acaraú;58139
CE;2312106;Santana do Cariri;3492
CE;2312205;Santa Quitéria;47667
CE;2312304;São Benedito;56453
CE;2312403;São Gonçalo do Amarante;62138
CE;2312502;São João do Jaguaribe;52922
CE;2312601;São Luís do Curu;62778
CE;2312700;Senador Pompeu;48345
CE;2312809;Senador Sá;43048
CE;2312908;Sobral;68963
CE;2313005;Solonópole;555
CE;2313104;Tabuleiro do Norte;57021
CE;2313203;Tamboril;3629
CE;2313252;Tarrafas;38288
CE;2313302;Tauá;63277
CE;2313351;Tejuçuoca;42497
CE;2313401;Tianguá;71056
CE;2313500;Trairi;62405
CE;2313559;Tururu;43875
CE;2313609;Ubajara;6782
CE;2313708;Umari;34373
CE;2313757;Umirim;51163
